Bridge_ID,Condition,Longitude,Latitude
64,Good,-80.1736,26.6175
65,Good,-80.1714,26.4089
66,Fair,-80.3888,26.6857
67,Good,-80.0982,26.392
68,Good,-80.0988,26.3908
69,Fair,-80.0957,26.3945
70,Good,-80.1054,26.3862
71,Good,-80.0976,26.3902
72,Good,-80.0975,26.39
73,Good,-80.0434,26.7182
74,Good,-80.0911,26.7334
